favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
57844,Twitter for iPhone,".... It also brings Shifty’s fraudulent MADE UP CALL, which he read to the United States Congress pretending it to be the words of President Trump, which they were not! Nancy Pelosi is involved in this fraud in that she confirmed his fraudulent words on @GMA, and much more!",realDonaldTrump,False,Wed Oct 16 02:21:54 +0000 2019,13686,1184293357755011072
71652,Twitter for iPhone,"A great new book just out, “The Plot Against the President. The True Story Of How Congressman Devin Nunez Uncovered the Biggest Political Scandal In U.S. History.” Shows very bad and corrupt people on the other side. Check it out!",,False,Tue Oct 29 13:34:15 +0000 2019,19392,1189173602500911105
190930,Twitter for iPhone,"Nancy Pelosi needs help fast! There is either something wrong with her “upstairs,” or she just plain doesn’t like our great Country. She had a total meltdown in the White House today. It was very sad to watch. Pray for her, she is a very sick person!",,False,Thu Oct 17 00:00:40 +0000 2019,48035,1184620202480193537
60879,Twitter for iPhone,This is the real story. Thank you Jim! https://t.co/VqJrsUJdiX,,False,Thu Oct 17 11:54:12 +0000 2019,16176,1184799768964456448
38796,Twitter for iPhone,Thank you Dan and Kevin. Great Vote! https://t.co/MMJ5SanakG,,False,Tue Oct 22 00:30:49 +0000 2019,8712,1186439731237789696
73450,Twitter for iPhone,"....and Assad to protect the land of our enemy? Anyone who wants to assist Syria in protecting the Kurds is good with me, whether it is Russia, China, or Napoleon Bonaparte. I hope they all do great, we are 7,000 miles away!",realDonaldTrump,False,Mon Oct 14 19:10:51 +0000 2019,17476,1183822494031065088
77493,Twitter for iPhone,"“Americans know by now that the Impeachment inquiry is just another hoax and silent coup to remove the President from office.” J.J. Crovatto  Don’t worry J.J., Schiff is a leaker &amp; corrupt politician who made up what I said on the call in order to hurt the Republican Party &amp; me!",,False,Tue Oct 29 03:38:48 +0000 2019,17999,1189023754912964608
88043,Twitter for iPhone,Stock Market up BIG! Record highs for S&amp;P 500 and NASDAQ. Enjoy!,,False,Fri Nov 01 14:08:56 +0000 2019,18915,1190269494788263936
69819,Twitter for iPhone,"“The Democrats dirty tricks have started this whole thing. The Whistleblower, the guy who took his case to Schiff’s staff first, is what really blows the lid off this entire saga. He worked for Biden on Ukraine policy when Biden was VP. He worked for deep state henchman John",,False,Sat Nov 23 17:05:44 +0000 2019,20215,1198286523583606784
90374,Twitter for iPhone,"It is INCREDIBLE to watch and read the Fake News and how they pull out all stops to protect Sleepy Joe Biden and his thrown out of the Military son, Hunter, who was handed $100,000 a month (Plus,Plus) from a Ukrainian based company, even though he had no experience in energy,...",,False,Sun Oct 06 14:58:31 +0000 2019,23797,1180859889381466113
